Name	Fraktion	Geschlecht	Bundesland	Wahlkreis	Mandat	Biografie	Art	Stufe	Jahr	Beginn	Ende	Periodisch	Originaltext
Peer Steinbrück	SPD	m	Nordrhein-Westfalen	Wahlkreis 104: Mettmann I	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/S/steinbrueck_peer/259022	Funktionen in Unternehmen	3	2014		2012-12-30T23:00:00.000Z	einmalig	ThyssenKrupp AG, Essen, Mitglied des Aufsichtsrates (bis 31.12.2012), 2014, Stufe 3 (für 2012)
Matthäus Strebl	CDU/CSU	m	Bayern		liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/S/strebl_matthaeus/259066	Entgeltliche Tätigkeiten neben dem Mandat	5				jährlich	Pension Consult Beratungsgesellschaft für Altersvorsorge mbH, Beratung, jährlich, Stufe 5
Max Straubinger	CDU/CSU	m	Bayern	Wahlkreis 230: Rottal-Inn	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/S/straubinger_max/259046	Entgeltliche Tätigkeiten neben dem Mandat	8	2016			einmalig	Allianz Beratungs- und Vertriebs AG, München, 2016, Stufe 8
Thomas Strobl	CDU/CSU	m	Baden-Württemberg	Wahlkreis 267: Heilbronn	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/S/strobl_thomas/259082	Entgeltliche Tätigkeiten neben dem Mandat	3			2016-06-02T22:00:00.000Z	jährlich	Anwalts- und Steuerkanzlei Throm, Hauser, Strobl, von Berlichingen, Heilbronn, Rechtsanwalt, jährlich, Stufe 3, Gewinn
Thomas Strobl	CDU/CSU	m	Baden-Württemberg	Wahlkreis 267: Heilbronn	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/S/strobl_thomas/259082	Funktionen in Vereinen, Verbänden und Stiftungen	3			2016-06-02T22:00:00.000Z	jährlich	Bundesverband mittelständische Wirtschaft e.V. (BVMW), Berlin, Mitglied des politischen Beirates, jährlich, Stufe 3
Lena Strothmann	CDU/CSU	f	Nordrhein-Westfalen	Wahlkreis 132: Bielefeld - Gütersloh II	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/S/strothmann_lena/259008	Funktionen in Unternehmen	4				jährlich	Signal Iduna Unfallversicherung a.G., Dortmund, Mitglied des Aufsichtsrates, jährlich, Stufe 4
Lena Strothmann	CDU/CSU	f	Nordrhein-Westfalen	Wahlkreis 132: Bielefeld - Gütersloh II	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/S/strothmann_lena/259008	Funktionen in Körperschaften und Anstalten des öffentlichen Rechts	1				monatlich	Handwerkskammer Ostwestfalen-Lippe zu Bielefeld, Bielefeld, Präsidentin, monatlich, Stufe 1
Wolfgang Tiefensee	SPD	m	Sachsen		liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/T/tiefensee_wolfgang/259110	Entgeltliche Tätigkeiten neben dem Mandat	3	2014			einmalig	Deutschland baut! e.V., Frankfurt/Main, Beratung, 2014, Stufe 3
Wolfgang Tiefensee	SPD	m	Sachsen		liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/T/tiefensee_wolfgang/259110	Entgeltliche Tätigkeiten neben dem Mandat	3	2013			einmalig	SGBD Deutschland GmbH, Frankfurt/Main, Vortrag, 2013, Stufe 3 (Nachtrag zur 17. Wahlperiode)
Wolfgang Tiefensee	SPD	m	Sachsen		liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/T/tiefensee_wolfgang/259110	Funktionen in Unternehmen	1			2014-12-10T23:00:00.000Z	monatlich	K&S Sozialbau AG, Sottrum, Mitglied des Beirates, monatlich, Stufe 1
Alexander Ulrich	Die Linke	m	Rheinland-Pfalz	Wahlkreis 210: Kaiserslautern	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/U/ulrich_alexander/259132	Entgeltliche Tätigkeiten neben dem Mandat	1				monatlich	IG Metall Kaiserslautern, Kaiserslautern, Geschäftsführer und 2. Bevollmächtigter, monatlich, Stufe 1
Volkmar Vogel	CDU/CSU	m	Thüringen	Wahlkreis 195: Greiz - Altenburger Land	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/V/vogel_volkmar/259158	Funktionen in Unternehmen	4				jährlich	Deutsche Rockwool GmbH + Co. OHG, Gladbeck, Mitglied des Fachbeirates, jährlich, Stufe 4
Gabi Weber	SPD	f	Rheinland-Pfalz	Wahlkreis 205: Montabaur	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/W/weber_gabriele/259162	Entgeltliche Tätigkeiten neben dem Mandat	1				monatlich	Deutscher Gewerkschaftsbund (DGB), Berlin, Gewerkschaftssekretärin, monatlich, Stufe 1
Sabine Zimmermann	Die Linke	f	Sachsen	Wahlkreis 165: Zwickau	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/Z/zimmermann_sabine/259228	Entgeltliche Tätigkeiten neben dem Mandat	1				monatlich	Deutscher Gewerkschaftsbund (DGB) Bundesvorstand, Berlin, Gewerkschaftssekretärin, monatlich, Stufe 1
