Name	Fraktion	Geschlecht	Bundesland	Wahlkreis	Mandat	Biografie	Art	Stufe	Jahr	Beginn	Ende	Periodisch	Originaltext
Klaus Mindrup	SPD	m	Berlin	Wahlkreis 076: Berlin-Pankow	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/M/mindrup_klaus/259346	Entgeltliche Tätigkeiten neben dem Mandat	3	2014		2015-12-30T23:00:00.000Z	einmalig	Freiberuflicher Diplom-Biologe, Berlin (bis 31.12.2015) Beratung, GMZ Planungsgesellschaft Matthias Zinnen mbH, Berlin, 2014, Stufe 3
Philipp Mißfelder	CDU/CSU	m	Nordrhein-Westfalen	Wahlkreis 121: Recklinghausen I	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/M/missfelder_philipp/258790	Entgeltliche Tätigkeiten neben dem Mandat	8			2015-07-12T22:00:00.000Z	jährlich	teNeues Verlag GmbH & Co. KG, Kempen, Beratungstätigkeit, jährlich, Stufe 8 (bis 31.12.2014)
Philipp Mißfelder	CDU/CSU	m	Nordrhein-Westfalen	Wahlkreis 121: Recklinghausen I	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/M/missfelder_philipp/258790	Funktionen in Unternehmen	5		2015-05-31T22:00:00.000Z	2015-07-12T22:00:00.000Z	jährlich	Bonner Akademie für Forschung und Lehre praktischer Politik (BAPP) GmbH, Bonn, Mitglied des Beirates, jährlich, Stufe 5 (ab 01.05.2015)
Philipp Mißfelder	CDU/CSU	m	Nordrhein-Westfalen	Wahlkreis 121: Recklinghausen I	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/M/missfelder_philipp/258790	Funktionen in Unternehmen	6		2015-05-31T22:00:00.000Z	2015-07-12T22:00:00.000Z	jährlich	Bonner Akademie für Forschung und Lehre praktischer Politik (BAPP) GmbH, Bonn, Mitglied des Beirates, jährlich, Stufe 6 (ab 01.05.2015)
Bettina Müller	SPD	f	Hessen	Wahlkreis 175: Main-Kinzig – Wetterau II – Schotten	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/M/mueller_bettina/259412	Entgeltliche Tätigkeiten neben dem Mandat	1	2013			einmalig	Amtsgericht Gelnhausen, Gelnhausen, Betreuerin, 2013, Stufe 1
Bettina Müller	SPD	f	Hessen	Wahlkreis 175: Main-Kinzig – Wetterau II – Schotten	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/M/mueller_bettina/259412	Entgeltliche Tätigkeiten neben dem Mandat	3	2014			einmalig	Amtsgericht Gelnhausen, Gelnhausen, 2014, Stufe 3
Dr. Philipp Murmann	CDU/CSU	m	Schleswig-Holstein	Wahlkreis 006: Plön - Neumünster	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/M/murmann_philipp/258792	Entgeltliche Tätigkeiten neben dem Mandat	2			2015-06-29T22:00:00.000Z	monatlich	Zöllner Holding GmbH, Kiel, Geschäftsführer, monatlich, Stufe 2 (bis Juni 2015)
Dr. Philipp Murmann	CDU/CSU	m	Schleswig-Holstein	Wahlkreis 006: Plön - Neumünster	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/M/murmann_philipp/258792	Entgeltliche Tätigkeiten neben dem Mandat	3	2015			monatlich	Zöllner Holding GmbH, Kiel, monatlich, Stufe 3 (ab Juli 2015)
Andrea Nahles	SPD	f	Rheinland-Pfalz	Wahlkreis 199: Ahrweiler	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/N/nahles_andrea/258818	Entgeltliche Tätigkeiten neben dem Mandat	3			2013-12-15T23:00:00.000Z	monatlich	Sozialdemokratische Partei Deutschlands, Berlin, Generalsekretärin (bis 16.12.2013), monatlich, Stufe 3
Omid Nouripour	Bündnis 90/Die Grünen	m	Hessen	Wahlkreis 183: Frankfurt am Main II	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/N/nouripour_omid/258804	Entgeltliche Tätigkeiten neben dem Mandat	2	2014			einmalig	Publizistische Tätigkeit, Deutscher Taschenbuchverlag GmbH & Co. KG, München, 2014, Stufe 2
Omid Nouripour	Bündnis 90/Die Grünen	m	Hessen	Wahlkreis 183: Frankfurt am Main II	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/N/nouripour_omid/258804	Entgeltliche Tätigkeiten neben dem Mandat	2	2016			einmalig	Publizistische Tätigkeit, Graf & Graf Literatur- und Medienagentur GmbH, Berlin, 2016, Stufe 2
Dietmar Nietan	SPD	m	Nordrhein-Westfalen	Wahlkreis 090: Düren	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/N/nietan_dietmar/258808	Entgeltliche Tätigkeiten neben dem Mandat	3				monatlich	Sozialdemokratische Partei Deutschlands, Berlin, Schatzmeister, monatlich, Stufe 3
Dr. iur. Georg Nüßlein	CDU/CSU	m	Bayern	Wahlkreis 255: Neu-Ulm	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/N/nuesslein_georg/258802	Entgeltliche Tätigkeiten neben dem Mandat	2				monatlich	Betrieb eines Klein- Wasserkraftwerks, Münsterhausen, Elektrizitätswerk Gemeinde Burtenbach, (als Abnehmer nach § 4 EEG),monatlich, Stufe 2
Dr. iur. Georg Nüßlein	CDU/CSU	m	Bayern	Wahlkreis 255: Neu-Ulm	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/N/nuesslein_georg/258802	Entgeltliche Tätigkeiten neben dem Mandat	1	2014			einmalig	FORUM Institut für Management GmbH, Heidelberg, Vortrag, 2014, Stufe 1 („4. Stadtwerketag Bayern- Die Auswirkungen der Energiewende-Reform auf den Freistaat“)
Dr. iur. Georg Nüßlein	CDU/CSU	m	Bayern	Wahlkreis 255: Neu-Ulm	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/N/nuesslein_georg/258802	Funktionen in Unternehmen	1				monatlich	on-collect solutions AG, Illertissen, Vorsitzender des Aufsichtsrates, monatlich, Stufe 1
Dr. iur. Georg Nüßlein	CDU/CSU	m	Bayern	Wahlkreis 255: Neu-Ulm	direkt	http://www.bundestag.de/bundestag/abgeordnete18/biografien/N/nuesslein_georg/258802	Funktionen in Unternehmen	3				jährlich	Sfirion AG, München, Mitglied des Aufsichtsrates, jährlich, Stufe 3
Cem Özdemir	Bündnis 90/Die Grünen	m	Baden-Württemberg	Wahlkreis 258: Stuttgart I	liste	http://www.bundestag.de/bundestag/abgeordnete18/biografien/O/oezdemir_cem/258834	Funktionen in Vereinen, Verbänden und Stiftungen	1				monatlich	Bundesverband mittelständische Wirtschaft e.V. (BVMW), München, Mitglied des politischen Beirates, monatlich, Stufe 1
